set_name,name,price_market,rarity,variant,condition,name_norm,set_norm
25th Anniversary Rarity Collection,Reasoning (UR),0.13,Ultra Rare,1st Edition,Damaged,reasoning ur,25th anniversary rarity collection
Flames of Destruction,Knightmare Mermaid,0.13,Rare,Unlimited,Heavily Played,knightmare mermaid,flames of destruction
Duel Power,Soul Pendulum,0.13,Ultra Rare,Unlimited,Near Mint,soul pendulum,duel power
Flames of Destruction,Elementsaber Lapauila,0.13,Super Rare,Unlimited,Near Mint,elementsaber lapauila,flames of destruction
Duel Power,Predaplant Ophrys Scorpio,0.13,Ultra Rare,1st Edition,Damaged,predaplant ophrys scorpio,duel power
Flames of Destruction,Altergeist Multifaker,0.12,Ultra Rare,Unlimited,Lightly Played,altergeist multifaker,flames of destruction
25th Anniversary Rarity Collection,"Artemis, the Magistus Moon Maiden (UR)",0.12,Ultra Rare,1st Edition,Lightly Played,artemis the magistus moon maiden ur,25th anniversary rarity collection
Magnificent Mavens,Foolish Return,0.12,Ultra Rare,1st Edition,Near Mint,foolish return,magnificent mavens
25th Anniversary Rarity Collection,Pot of Desires,0.12,Super Rare,1st Edition,Damaged,pot of desires,25th anniversary rarity collection
25th Anniversary Rarity Collection,Knightmare Unicorn (Alternate Art),0.12,Super Rare,1st Edition,Lightly Played,knightmare unicorn alternate art,25th anniversary rarity collection
25th Anniversary Rarity Collection,Magicalized Fusion (UR),0.12,Ultra Rare,1st Edition,Lightly Played,magicalized fusion ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Code Talker Inverted (UR),0.12,Ultra Rare,1st Edition,Near Mint,code talker inverted ur,25th anniversary rarity collection
Duel Devastator,Metaphys Horus,0.12,Ultra Rare,1st Edition,Lightly Played,metaphys horus,duel devastator
Shadows in Valhalla,Urgent Ritual Art,0.12,Super Rare,1st Edition,Lightly Played,urgent ritual art,shadows in valhalla
Shadows in Valhalla,Mermail Abyssleed,0.12,Super Rare,1st Edition,Heavily Played,mermail abyssleed,shadows in valhalla
Magnificent Mavens,Mayakashi Return,0.12,Ultra Rare,1st Edition,Moderately Played,mayakashi return,magnificent mavens
Magnificent Mavens,Witchcrafter Confusion Confession,0.12,Ultra Rare,1st Edition,Lightly Played,witchcrafter confusion confession,magnificent mavens
25th Anniversary Rarity Collection,Galaxy-Eyes Full Armor Photon Dragon (UR),0.12,Ultra Rare,1st Edition,Lightly Played,galaxyeyes full armor photon dragon ur,25th anniversary rarity collection
Flames of Destruction,Mekk-Knight Avram,0.12,Common / Short Print,1st Edition,Lightly Played,mekkknight avram,flames of destruction
25th Anniversary Rarity Collection,Mekk-Knight Crusadia Avramax,0.12,Super Rare,1st Edition,Lightly Played,mekkknight crusadia avramax,25th anniversary rarity collection
Shadows in Valhalla,Magic Planter,0.12,Super Rare,1st Edition,Heavily Played,magic planter,shadows in valhalla
Flames of Destruction,F.A. Dark Dragster,0.12,Rare,1st Edition,Near Mint,fa dark dragster,flames of destruction
Flames of Destruction,Trickstar Light Arena,0.12,Rare,Unlimited,Moderately Played,trickstar light arena,flames of destruction
25th Anniversary Rarity Collection,Number 100: Numeron Dragon (UR),0.11,Ultra Rare,1st Edition,Lightly Played,number 100 numeron dragon ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Dingirsu, the Orcust of the Evening Star",0.11,Super Rare,1st Edition,Damaged,dingirsu the orcust of the evening star,25th anniversary rarity collection
